region,category,parent,n_descendants,inclusive_query,exclusive_query,inclusive_count,exclusive_count,inclusive_url,exclusive_url,query_date,log10_inclusive_count_p1,norm_inclusive_count,log10_exclusive_count_p1,norm_exclusive_count
subthalamic nucleus,basal ganglia,,0,"((""subthalamic nucleus""[tiab] OR (""STN""[tiab] AND (subthalamic[tiab] OR basal ganglia[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""subthalamic nucleus""[tiab] OR (""STN""[tiab] AND (subthalamic[tiab] OR basal ganglia[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",3912,3912,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22subthalamic+nucleus%22%5Btiab%5D+OR+%28%22STN%22%5Btiab%5D+AND+%28subthalamic%5Btiab%5D+OR+basal+ganglia%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22subthalamic+nucleus%22%5Btiab%5D+OR+%28%22STN%22%5Btiab%5D+AND+%28subthalamic%5Btiab%5D+OR+basal+ganglia%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.5925,0.6127,3.5925,0.6325
thalamus,thalamus,,6,"((""thalamus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""thalamus""[tiab])) NOT ((""reticular thalamic nucleus""[tiab] OR ""thalamic reticular nucleus""[tiab] OR (""TRN""[tiab] AND (thalam*[tiab] OR reticular[tiab]))) OR (""medial geniculate nucleus""[tiab] OR (""MGN""[tiab] AND (geniculate[tiab] OR auditory[tiab] OR thalam*[tiab]))) OR (""lateral geniculate nucleus""[tiab] OR (""LGN""[tiab] AND (geniculate[tiab] OR visual[tiab] OR thalam*[tiab]))) OR (""pulvinar""[tiab]) OR (""anterior thalamic nuclei""[tiab] OR ""anterior thalamic nucleus""[tiab]) OR (""mediodorsal thalamus""[tiab] OR ""mediodorsal nucleus of the thalamus""[tiab] OR ""mediodorsal thalamic nucleus""[tiab]))) AND (""2015""[PDAT] : ""2025""[PDAT])",17757,16325,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22thalamus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22thalamus%22%5Btiab%5D%29%29+NOT+%28%28%22reticular+thalamic+nucleus%22%5Btiab%5D+OR+%22thalamic+reticular+nucleus%22%5Btiab%5D+OR+%28%22TRN%22%5Btiab%5D+AND+%28thalam%2A%5Btiab%5D+OR+reticular%5Btiab%5D%29%29%29+OR+%28%22medial+geniculate+nucleus%22%5Btiab%5D+OR+%28%22MGN%22%5Btiab%5D+AND+%28geniculate%5Btiab%5D+OR+auditory%5Btiab%5D+OR+thalam%2A%5Btiab%5D%29%29%29+OR+%28%22lateral+geniculate+nucleus%22%5Btiab%5D+OR+%28%22LGN%22%5Btiab%5D+AND+%28geniculate%5Btiab%5D+OR+visual%5Btiab%5D+OR+thalam%2A%5Btiab%5D%29%29%29+OR+%28%22pulvinar%22%5Btiab%5D%29+OR+%28%22anterior+thalamic+nuclei%22%5Btiab%5D+OR+%22anterior+thalamic+nucleus%22%5Btiab%5D%29+OR+%28%22mediodorsal+thalamus%22%5Btiab%5D+OR+%22mediodorsal+nucleus+of+the+thalamus%22%5Btiab%5D+OR+%22mediodorsal+thalamic+nucleus%22%5Btiab%5D%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,4.2494,0.8192,4.2129,0.8338
mediodorsal thalamus,thalamus,thalamus,0,"((""mediodorsal thalamus""[tiab] OR ""mediodorsal nucleus of the thalamus""[tiab] OR ""mediodorsal thalamic nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""mediodorsal thalamus""[tiab] OR ""mediodorsal nucleus of the thalamus""[tiab] OR ""mediodorsal thalamic nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",396,396,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22mediodorsal+thalamus%22%5Btiab%5D+OR+%22mediodorsal+nucleus+of+the+thalamus%22%5Btiab%5D+OR+%22mediodorsal+thalamic+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22mediodorsal+thalamus%22%5Btiab%5D+OR+%22mediodorsal+nucleus+of+the+thalamus%22%5Btiab%5D+OR+%22mediodorsal+thalamic+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.5988,0.3003,2.5988,0.31
anterior thalamic nuclei,thalamus,thalamus,0,"((""anterior thalamic nuclei""[tiab] OR ""anterior thalamic nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""anterior thalamic nuclei""[tiab] OR ""anterior thalamic nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",266,266,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22anterior+thalamic+nuclei%22%5Btiab%5D+OR+%22anterior+thalamic+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22anterior+thalamic+nuclei%22%5Btiab%5D+OR+%22anterior+thalamic+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.4265,0.2461,2.4265,0.2541
pulvinar,thalamus,thalamus,0,"((""pulvinar""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""pulvinar""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",845,845,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22pulvinar%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22pulvinar%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.9274,0.4036,2.9274,0.4166
lateral geniculate nucleus,thalamus,thalamus,0,"((""lateral geniculate nucleus""[tiab] OR (""LGN""[tiab] AND (geniculate[tiab] OR visual[tiab] OR thalam*[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""lateral geniculate nucleus""[tiab] OR (""LGN""[tiab] AND (geniculate[tiab] OR visual[tiab] OR thalam*[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",1033,1033,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22lateral+geniculate+nucleus%22%5Btiab%5D+OR+%28%22LGN%22%5Btiab%5D+AND+%28geniculate%5Btiab%5D+OR+visual%5Btiab%5D+OR+thalam%2A%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22lateral+geniculate+nucleus%22%5Btiab%5D+OR+%28%22LGN%22%5Btiab%5D+AND+%28geniculate%5Btiab%5D+OR+visual%5Btiab%5D+OR+thalam%2A%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.0145,0.431,3.0145,0.4449
medial geniculate nucleus,thalamus,thalamus,0,"((""medial geniculate nucleus""[tiab] OR (""MGN""[tiab] AND (geniculate[tiab] OR auditory[tiab] OR thalam*[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""medial geniculate nucleus""[tiab] OR (""MGN""[tiab] AND (geniculate[tiab] OR auditory[tiab] OR thalam*[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",105,105,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22medial+geniculate+nucleus%22%5Btiab%5D+OR+%28%22MGN%22%5Btiab%5D+AND+%28geniculate%5Btiab%5D+OR+auditory%5Btiab%5D+OR+thalam%2A%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22medial+geniculate+nucleus%22%5Btiab%5D+OR+%28%22MGN%22%5Btiab%5D+AND+%28geniculate%5Btiab%5D+OR+auditory%5Btiab%5D+OR+thalam%2A%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.0253,0.12,2.0253,0.1239
reticular thalamic nucleus,thalamus,thalamus,0,"((""reticular thalamic nucleus""[tiab] OR ""thalamic reticular nucleus""[tiab] OR (""TRN""[tiab] AND (thalam*[tiab] OR reticular[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""reticular thalamic nucleus""[tiab] OR ""thalamic reticular nucleus""[tiab] OR (""TRN""[tiab] AND (thalam*[tiab] OR reticular[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",429,429,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22reticular+thalamic+nucleus%22%5Btiab%5D+OR+%22thalamic+reticular+nucleus%22%5Btiab%5D+OR+%28%22TRN%22%5Btiab%5D+AND+%28thalam%2A%5Btiab%5D+OR+reticular%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22reticular+thalamic+nucleus%22%5Btiab%5D+OR+%22thalamic+reticular+nucleus%22%5Btiab%5D+OR+%28%22TRN%22%5Btiab%5D+AND+%28thalam%2A%5Btiab%5D+OR+reticular%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.6335,0.3112,2.6335,0.3213
hypothalamus,hypothalamus,,4,"((""hypothalamus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""hypothalamus""[tiab])) NOT ((""mammillary bodies""[tiab] OR ""mammillary body""[tiab] OR ""mamillary bodies""[tiab]) OR (""suprachiasmatic nucleus""[tiab] OR (""SCN""[tiab] AND (circadian[tiab] OR suprachiasmatic[tiab] OR nucleus[tiab]))) OR (""paraventricular nucleus""[tiab] OR (""PVN""[tiab] AND (hypothalam*[tiab] OR paraventricular[tiab]))) OR (""arcuate nucleus""[tiab]))) AND (""2015""[PDAT] : ""2025""[PDAT])",19588,16336,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22hypothalamus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22hypothalamus%22%5Btiab%5D%29%29+NOT+%28%28%22mammillary+bodies%22%5Btiab%5D+OR+%22mammillary+body%22%5Btiab%5D+OR+%22mamillary+bodies%22%5Btiab%5D%29+OR+%28%22suprachiasmatic+nucleus%22%5Btiab%5D+OR+%28%22SCN%22%5Btiab%5D+AND+%28circadian%5Btiab%5D+OR+suprachiasmatic%5Btiab%5D+OR+nucleus%5Btiab%5D%29%29%29+OR+%28%22paraventricular+nucleus%22%5Btiab%5D+OR+%28%22PVN%22%5Btiab%5D+AND+%28hypothalam%2A%5Btiab%5D+OR+paraventricular%5Btiab%5D%29%29%29+OR+%28%22arcuate+nucleus%22%5Btiab%5D%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,4.292,0.8325,4.2132,0.8339
arcuate nucleus,hypothalamus,hypothalamus,0,"((""arcuate nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""arcuate nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",1935,1935,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22arcuate+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22arcuate+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.2869,0.5166,3.2869,0.5333
paraventricular nucleus,hypothalamus,hypothalamus,0,"((""paraventricular nucleus""[tiab] OR (""PVN""[tiab] AND (hypothalam*[tiab] OR paraventricular[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""paraventricular nucleus""[tiab] OR (""PVN""[tiab] AND (hypothalam*[tiab] OR paraventricular[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",2950,2950,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22paraventricular+nucleus%22%5Btiab%5D+OR+%28%22PVN%22%5Btiab%5D+AND+%28hypothalam%2A%5Btiab%5D+OR+paraventricular%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22paraventricular+nucleus%22%5Btiab%5D+OR+%28%22PVN%22%5Btiab%5D+AND+%28hypothalam%2A%5Btiab%5D+OR+paraventricular%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.47,0.5741,3.47,0.5927
suprachiasmatic nucleus,hypothalamus,hypothalamus,0,"((""suprachiasmatic nucleus""[tiab] OR (""SCN""[tiab] AND (circadian[tiab] OR suprachiasmatic[tiab] OR nucleus[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""suprachiasmatic nucleus""[tiab] OR (""SCN""[tiab] AND (circadian[tiab] OR suprachiasmatic[tiab] OR nucleus[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",2131,2131,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22suprachiasmatic+nucleus%22%5Btiab%5D+OR+%28%22SCN%22%5Btiab%5D+AND+%28circadian%5Btiab%5D+OR+suprachiasmatic%5Btiab%5D+OR+nucleus%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22suprachiasmatic+nucleus%22%5Btiab%5D+OR+%28%22SCN%22%5Btiab%5D+AND+%28circadian%5Btiab%5D+OR+suprachiasmatic%5Btiab%5D+OR+nucleus%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.3288,0.5298,3.3288,0.5469
mammillary bodies,hypothalamus,hypothalamus,0,"((""mammillary bodies""[tiab] OR ""mammillary body""[tiab] OR ""mamillary bodies""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""mammillary bodies""[tiab] OR ""mammillary body""[tiab] OR ""mamillary bodies""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",344,344,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22mammillary+bodies%22%5Btiab%5D+OR+%22mammillary+body%22%5Btiab%5D+OR+%22mamillary+bodies%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22mammillary+bodies%22%5Btiab%5D+OR+%22mammillary+body%22%5Btiab%5D+OR+%22mamillary+bodies%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.5378,0.2811,2.5378,0.2902
habenula,epithalamus,,0,"((""habenula""[tiab] OR ""habenular nuclei""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""habenula""[tiab] OR ""habenular nuclei""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",1384,1384,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22habenula%22%5Btiab%5D+OR+%22habenular+nuclei%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22habenula%22%5Btiab%5D+OR+%22habenular+nuclei%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.1414,0.4709,3.1414,0.4861
pineal gland,epithalamus,,0,"((""pineal gland""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""pineal gland""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",1913,1913,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22pineal+gland%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22pineal+gland%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.2819,0.515,3.2819,0.5317
midbrain,midbrain,,7,"((""midbrain""[tiab] OR ""mesencephalon""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""midbrain""[tiab] OR ""mesencephalon""[tiab])) NOT ((""interpeduncular nucleus""[tiab]) OR (""periaqueductal gray""[tiab] OR ""periaqueductal grey""[tiab] OR (""PAG""[tiab] AND (periaqueductal[tiab] OR midbrain[tiab] OR gray[tiab] OR grey[tiab]))) OR (""red nucleus""[tiab] OR ""nucleus ruber""[tiab]) OR (""inferior colliculus""[tiab]) OR (""superior colliculus""[tiab] OR (""SC""[tiab] AND (colliculus[tiab] OR tectum[tiab] OR superior[tiab]))) OR (""ventral tegmental area""[tiab] OR (""VTA""[tiab] AND (tegmental[tiab] OR midbrain[tiab] OR dopamin*[tiab] OR mesolimbic[tiab]))) OR (""substantia nigra""[tiab] OR (""SNc""[tiab] AND (nigra[tiab] OR dopamin*[tiab])) OR (""SNr""[tiab] AND (nigra[tiab] OR reticulata[tiab]))))) AND (""2015""[PDAT] : ""2025""[PDAT])",10049,7133,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22midbrain%22%5Btiab%5D+OR+%22mesencephalon%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22midbrain%22%5Btiab%5D+OR+%22mesencephalon%22%5Btiab%5D%29%29+NOT+%28%28%22interpeduncular+nucleus%22%5Btiab%5D%29+OR+%28%22periaqueductal+gray%22%5Btiab%5D+OR+%22periaqueductal+grey%22%5Btiab%5D+OR+%28%22PAG%22%5Btiab%5D+AND+%28periaqueductal%5Btiab%5D+OR+midbrain%5Btiab%5D+OR+gray%5Btiab%5D+OR+grey%5Btiab%5D%29%29%29+OR+%28%22red+nucleus%22%5Btiab%5D+OR+%22nucleus+ruber%22%5Btiab%5D%29+OR+%28%22inferior+colliculus%22%5Btiab%5D%29+OR+%28%22superior+colliculus%22%5Btiab%5D+OR+%28%22SC%22%5Btiab%5D+AND+%28colliculus%5Btiab%5D+OR+tectum%5Btiab%5D+OR+superior%5Btiab%5D%29%29%29+OR+%28%22ventral+tegmental+area%22%5Btiab%5D+OR+%28%22VTA%22%5Btiab%5D+AND+%28tegmental%5Btiab%5D+OR+midbrain%5Btiab%5D+OR+dopamin%2A%5Btiab%5D+OR+mesolimbic%5Btiab%5D%29%29%29+OR+%28%22substantia+nigra%22%5Btiab%5D+OR+%28%22SNc%22%5Btiab%5D+AND+%28nigra%5Btiab%5D+OR+dopamin%2A%5Btiab%5D%29%29+OR+%28%22SNr%22%5Btiab%5D+AND+%28nigra%5Btiab%5D+OR+reticulata%5Btiab%5D%29%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,4.0022,0.7414,3.8533,0.7171
substantia nigra,midbrain,midbrain,0,"((""substantia nigra""[tiab] OR (""SNc""[tiab] AND (nigra[tiab] OR dopamin*[tiab])) OR (""SNr""[tiab] AND (nigra[tiab] OR reticulata[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""substantia nigra""[tiab] OR (""SNc""[tiab] AND (nigra[tiab] OR dopamin*[tiab])) OR (""SNr""[tiab] AND (nigra[tiab] OR reticulata[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",9612,9612,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22substantia+nigra%22%5Btiab%5D+OR+%28%22SNc%22%5Btiab%5D+AND+%28nigra%5Btiab%5D+OR+dopamin%2A%5Btiab%5D%29%29+OR+%28%22SNr%22%5Btiab%5D+AND+%28nigra%5Btiab%5D+OR+reticulata%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22substantia+nigra%22%5Btiab%5D+OR+%28%22SNc%22%5Btiab%5D+AND+%28nigra%5Btiab%5D+OR+dopamin%2A%5Btiab%5D%29%29+OR+%28%22SNr%22%5Btiab%5D+AND+%28nigra%5Btiab%5D+OR+reticulata%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.9829,0.7354,3.9829,0.7591
ventral tegmental area,midbrain,midbrain,0,"((""ventral tegmental area""[tiab] OR (""VTA""[tiab] AND (tegmental[tiab] OR midbrain[tiab] OR dopamin*[tiab] OR mesolimbic[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""ventral tegmental area""[tiab] OR (""VTA""[tiab] AND (tegmental[tiab] OR midbrain[tiab] OR dopamin*[tiab] OR mesolimbic[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",4380,4380,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22ventral+tegmental+area%22%5Btiab%5D+OR+%28%22VTA%22%5Btiab%5D+AND+%28tegmental%5Btiab%5D+OR+midbrain%5Btiab%5D+OR+dopamin%2A%5Btiab%5D+OR+mesolimbic%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22ventral+tegmental+area%22%5Btiab%5D+OR+%28%22VTA%22%5Btiab%5D+AND+%28tegmental%5Btiab%5D+OR+midbrain%5Btiab%5D+OR+dopamin%2A%5Btiab%5D+OR+mesolimbic%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.6416,0.6281,3.6416,0.6484
